,,,mean,std,nd
23484201_back,20220718_060000,8,0.09719765700463238,0.19644680151956054,5981.0
23484201_back,20220719_060000,0,0.19795033347587807,0.5710414484341367,17452.0
23484201_back,20220719_060000,1,0.18060512493691636,0.5399947494463074,17957.0
23484201_back,20220719_060000,2,0.18410937377539144,0.3333825960384808,17992.0
23484201_back,20220719_060000,3,0.1360572172478123,0.17049883365279372,17970.0
23484201_back,20220719_060000,4,0.0725899473901261,0.15245713477363898,17982.0
23484201_back,20220719_060000,5,0.10843573046311393,0.21043976744184048,17995.0
23484201_back,20220719_060000,6,0.11628447755049494,0.2569773054433763,17921.0
23484201_back,20220719_060000,7,0.14204632474726225,0.36151293903938736,17979.0
23484201_back,20220719_060000,8,0.17328918010092112,0.41695008015280016,5954.0
23484201_back,20220720_060000,0,0.3236119435774691,0.5504042591486652,17993.0
23484201_back,20220720_060000,1,0.12568751674153347,0.25422165049334045,17880.0
23484201_back,20220720_060000,2,0.11768279035813102,0.20225214584243983,17974.0
23484201_back,20220720_060000,3,0.12284777840891639,0.20070768835245661,17959.0
23484201_back,20220720_060000,4,0.20261265399269682,0.35562598437084963,17644.0
23484201_back,20220720_060000,5,0.11278558805159454,0.26328254644041965,17990.0
23484201_back,20220720_060000,6,0.17022350898642985,0.32030116607266507,17903.0
23484201_back,20220720_060000,7,0.12578240219926154,0.2391328764218145,17989.0
23484201_back,20220720_060000,8,0.14570572517458635,0.2838309178187534,5979.0
23484201_back,20220721_060000,0,0.34086199347619495,0.5536854805087136,17989.0
23484201_back,20220721_060000,1,0.24185728116520128,0.38157080707165375,17991.0
23484201_back,20220721_060000,2,0.2042306058529969,0.31429609339960757,17935.0
23484201_back,20220721_060000,3,0.16619686296704478,0.2877675078260483,17989.0
23484201_back,20220721_060000,4,0.11240185934167635,0.19237280438996193,17982.0
23484201_back,20220721_060000,5,0.16582443272740438,0.2726507371850892,17995.0
23484201_back,20220721_060000,6,0.14232737266972498,0.2592014152829453,17806.0
23484201_back,20220721_060000,7,0.13992993749491434,0.22304463431580585,17991.0
23484201_back,20220721_060000,8,0.13243497801070803,0.35826467767301395,5967.0
23484201_back,20220722_060000,0,0.5036232465974891,0.7377218588073018,17997.0
23484201_back,20220722_060000,1,0.1954109680991456,0.2843415707671927,17980.0
23484201_back,20220722_060000,2,0.1249126388898936,0.13711827594753817,17994.0
23484201_back,20220722_060000,3,0.13415268879859907,0.22755957226721654,17965.0
23484201_back,20220722_060000,4,0.13723031132677896,0.2033335995526867,17988.0
23484201_back,20220722_060000,5,0.1664821212149801,0.2786933808341816,17849.0
23484201_back,20220722_060000,6,0.13224231355696214,0.25827864175119564,17947.0
23484201_back,20220722_060000,7,0.1294899967714126,0.17502564833241613,17977.0
23484201_back,20220722_060000,8,0.12257318038271335,0.15740017096697198,5980.0
23484201_back,20220723_060000,0,0.3734500713776305,0.6764104770865578,17992.0
23484201_back,20220723_060000,1,0.16763735703949725,0.20715416613717078,17994.0
23484201_back,20220723_060000,2,0.18692205320076924,0.2981947769615334,17962.0
23484201_back,20220723_060000,3,0.18313400803561392,0.3322117948100688,17992.0
23484201_back,20220723_060000,4,0.15355311027920518,0.27612764896373043,17991.0
23484201_back,20220723_060000,5,0.13625745455045749,0.25916783910436547,17995.0
23484201_back,20220723_060000,6,0.17049651981414535,0.380234805573532,17794.0
23484201_back,20220723_060000,7,0.16931512100362897,0.3530822737116501,17552.0
